Município;label_formatado;2020;2021;2022;2023;2024;crescimento_pct;Crescimento 2020-2024
Guarujá;"Guarujá
 3.647 vínculos";3647;NA;NA;NA;NA;20,4003290375651;+20.4%
Santos;"Santos
12.643 vínculos";12643;NA;NA;NA;NA;34,0741912520762;+34.1%
Guarujá;"Guarujá
 3.721 vínculos";NA;3721;NA;NA;NA;20,4003290375651;+20.4%
Santos;"Santos
13.171 vínculos";NA;13171;NA;NA;NA;34,0741912520762;+34.1%
Guarujá;"Guarujá
 3.840 vínculos";NA;NA;3840;NA;NA;20,4003290375651;+20.4%
Santos;"Santos
14.413 vínculos";NA;NA;14413;NA;NA;34,0741912520762;+34.1%
Guarujá;"Guarujá
 3.807 vínculos";NA;NA;NA;3807;NA;20,4003290375651;+20.4%
Santos;"Santos
14.624 vínculos";NA;NA;NA;14624;NA;34,0741912520762;+34.1%
Guarujá;"Guarujá
 4.391 vínculos";NA;NA;NA;NA;4391;20,4003290375651;+20.4%
Santos;"Santos
16.951 vínculos";NA;NA;NA;NA;16951;34,0741912520762;+34.1%
